Scientificname,Commonname,species,total_count,n_observations
Acanthostracion quadricornis,Scrawled Cowfish,8860030201,13637,3384
Achiridae spp.,American Soles,8858030000,44,10
Achirus lineatus,Lined Sole,8858030202,8613,4050
Acipenser desotoi,Gulf Sturgeon,8729010113,1,1
Aetobatus narinari,Spotted Eagle Ray,8713070101,47,43
Albula goreensis,Senegalese Bonefish,8739010104,1,1
Albula sp. cf. vulpes,bonefishes,8739010103,4,3
Albula spp.,bonefishes,8739010100,14,11
Albula vulpes,Bonefish,8739010101,33,21
Alburnops petersoni,Coastal Shiner,8776080104,6596,314
Alpheidae spp.,Snapping Shrimp,6179140000,147,75
Aluterus schoepfii,Orange Filefish,8860020101,688,435
Aluterus scriptus,Scrawled Filefish,8860020104,8,3
Aluterus spp.,filefishes,8860020100,1,1
Ambidexter symmetricus,grass shrimp,6179170301,5,4
Ameiurus catus,White Catfish,8777020602,559,143
Ameiurus natalis,Yellow Bullhead,8777020604,3,3
Ameiurus nebulosus,Brown Bullhead,8777020605,9,7
Ameiurus spp.,Bullheads,8777020600,4,3
Amia calva,Bowfin,8734010101,23,18
Anarchopterus criniger,Fringed Pipefish,8820023901,298,147
Anchoa cubana,Cuban Anchovy,8747020203,111838,232
Anchoa hepsetus,Striped Anchovy,8747020201,153140,1626
Anchoa lyolepis,Dusky Anchovy,8747020205,5971,11
Anchoa mitchilli,Bay Anchovy,8747020202,10708629,13329
Anchoa spp.,Anchovies,8747020200,35054,76
Ancylopsetta quadrocellata,Ocellated Flounder,8857050102,193,158
Anguilliformes spp.,Eels,8740000000,3,2
Apalone ferox,Florida Softshell,9002060201,9,9
Aphredoderus sayanus,Pirate Perch,8781010101,4,4
Archosargus probatocephalus,Sheepshead,8835430301,33967,8553
Archosargus rhomboidalis,Sea Bream,8835430302,1,1
Argopecten gibbus,Atlantic Calico Scallop,5509051201,2,2
Argopecten irradians,Bay Scallop,5509051202,355,186
Argopecten spp.,Scallops,5509051200,381,160
Ariopsis felis,Hardhead Catfish,8777180202,75011,7027
